Experiment,Parameter,Projections,Phantom,Avg time (s)
smoothing,0,10,phantom_1,5.0839745044708256
smoothing,0,10,phantom_2,5.579454493522644
smoothing,0,10,phantom_3,5.997460103034973
smoothing,0,10,phantom_4,6.124213004112244
smoothing,0,25,phantom_1,7.129527378082275
smoothing,0,25,phantom_2,7.350661182403565
smoothing,0,25,phantom_3,8.0206467628479
smoothing,0,25,phantom_4,8.093882489204407
smoothing,0.5,10,phantom_1,6.280736422538757
smoothing,0.5,10,phantom_2,6.908782911300659
smoothing,0.5,10,phantom_3,7.378470420837402
smoothing,0.5,10,phantom_4,7.669648218154907
smoothing,0.5,25,phantom_1,8.331305050849915
smoothing,0.5,25,phantom_2,8.982905745506287
smoothing,0.5,25,phantom_3,9.45469901561737
smoothing,0.5,25,phantom_4,9.61888906955719
smoothing,1,10,phantom_1,6.309233045578003
smoothing,1,10,phantom_2,6.930312442779541
smoothing,1,10,phantom_3,7.201223516464234
smoothing,1,10,phantom_4,7.757240724563599
smoothing,1,25,phantom_1,8.360721111297607
smoothing,1,25,phantom_2,9.00677170753479
smoothing,1,25,phantom_3,9.25075101852417
smoothing,1,25,phantom_4,9.698302817344665
smoothing,2,10,phantom_1,6.404759693145752
smoothing,2,10,phantom_2,7.074848890304565
smoothing,2,10,phantom_3,7.107096076011658
smoothing,2,10,phantom_4,7.859584879875183
smoothing,2,25,phantom_1,8.467122793197632
smoothing,2,25,phantom_2,9.110997843742371
smoothing,2,25,phantom_3,9.25021595954895
smoothing,2,25,phantom_4,9.891010570526124
smoothing,3,10,phantom_1,6.541535139083862
smoothing,3,10,phantom_2,7.142667555809021
smoothing,3,10,phantom_3,7.179463243484497
smoothing,3,10,phantom_4,7.937242746353149
smoothing,3,25,phantom_1,8.589499354362488
smoothing,3,25,phantom_2,9.21209397315979
smoothing,3,25,phantom_3,9.327991056442261
smoothing,3,25,phantom_4,10.016955184936524
angle_ordering,sequential,10,phantom_1,6.362446618080139
angle_ordering,sequential,10,phantom_2,7.094462370872497
angle_ordering,sequential,10,phantom_3,7.151077723503112
angle_ordering,sequential,10,phantom_4,7.770659255981445
angle_ordering,sequential,25,phantom_1,8.662896466255187
angle_ordering,sequential,25,phantom_2,9.326989078521729
angle_ordering,sequential,25,phantom_3,9.382858729362487
angle_ordering,sequential,25,phantom_4,9.991312193870545
angle_ordering,random,10,phantom_1,6.310531806945801
angle_ordering,random,10,phantom_2,6.99613893032074
angle_ordering,random,10,phantom_3,7.207223057746887
angle_ordering,random,10,phantom_4,7.717736482620239
angle_ordering,random,25,phantom_1,8.372446846961974
angle_ordering,random,25,phantom_2,9.016152215003967
angle_ordering,random,25,phantom_3,9.316383695602417
angle_ordering,random,25,phantom_4,9.718172001838685
angle_ordering,interleaved,10,phantom_1,6.34493408203125
angle_ordering,interleaved,10,phantom_2,7.107904434204102
angle_ordering,interleaved,10,phantom_3,7.179520487785339
angle_ordering,interleaved,10,phantom_4,7.839258813858033
angle_ordering,interleaved,25,phantom_1,8.319665169715881
angle_ordering,interleaved,25,phantom_2,9.02406840324402
angle_ordering,interleaved,25,phantom_3,9.110236716270446
angle_ordering,interleaved,25,phantom_4,9.70678789615631
InitialARM,5,10,phantom_1,6.288725471496582
InitialARM,5,10,phantom_2,6.95456075668335
InitialARM,5,10,phantom_3,7.125506854057312
InitialARM,5,10,phantom_4,7.711204552650452
